Sample in Buffer,Sample in Window,TRIGGER,O_Mipi_CSI_Byte_Lane0_Data[7:0],O_Mipi_CSI_Byte_Lane1_Data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,ff,55
1,1,0,ff,55
2,2,0,ff,55
3,3,0,3f,05
4,4,0,00,00
5,5,0,00,00
6,6,0,00,00
7,7,0,00,00
8,8,0,00,00
9,9,0,00,00
10,10,0,00,00
11,11,0,00,00
12,12,0,00,00
13,13,0,00,00
14,14,0,00,00
15,15,0,00,00
16,16,0,00,00
17,17,0,00,00
18,18,0,00,00
19,19,0,00,00
20,20,0,00,00
21,21,0,00,00
22,22,0,00,00
23,23,0,00,00
24,24,0,00,00
25,25,0,00,00
26,26,0,00,00
27,27,0,00,00
28,28,0,00,00
29,29,0,00,00
30,30,0,00,00
31,31,0,00,00
32,32,0,00,00
33,33,0,00,00
34,34,0,00,00
35,35,0,20,08
36,36,0,80,20
37,37,0,00,80
38,38,0,02,00
39,39,0,08,02
40,40,0,20,08
41,41,0,80,20
42,42,0,00,80
43,43,0,02,00
44,44,0,08,02
45,45,0,e0,b8
46,46,0,0a,f1
47,47,0,2b,c6
48,48,0,ac,1b
49,49,0,b0,6f
50,50,0,c2,bc
51,51,0,0a,f1
52,52,0,2b,c6
53,53,0,ac,1b
54,54,0,b0,6f
55,55,0,c2,bc
56,56,0,0a,f1
57,57,0,04,29
58,58,0,10,a7
59,59,0,40,9c
60,60,0,00,72
61,61,0,01,ca
62,62,0,04,29
63,63,0,10,a7
64,64,0,40,9c
65,65,0,00,72
66,66,0,01,ca
67,67,0,04,29
68,68,0,10,a7
69,69,0,f0,fc
70,70,0,ff,ff
71,71,0,ff,ff
72,72,0,ff,ff
73,73,0,ff,ff
74,74,0,ff,ff
75,75,0,ff,ff
76,76,0,ff,ff
77,77,0,ff,ff
78,78,0,ff,ff
79,79,0,ff,ff
80,80,0,ff,ff
81,81,0,ff,ff
82,82,0,ff,ff
83,83,0,ff,ff
84,84,0,ff,ff
85,85,0,ff,ff
86,86,0,ff,ff
87,87,0,ff,ff
88,88,0,ff,ff
89,89,0,ff,ff
90,90,0,ff,ff
91,91,0,ff,ff
92,92,0,ff,ff
93,93,0,ff,ff
94,94,0,ff,ff
95,95,0,ff,ff
96,96,0,ff,ff
97,97,0,ff,ff
98,98,0,ff,ff
99,99,0,ff,ff
100,100,1,ff,ff
101,101,0,ff,ff
102,102,0,ff,ff
103,103,0,ff,ff
104,104,0,ff,ff
105,105,0,ff,ff
106,106,0,ff,ff
107,107,0,ff,ff
108,108,0,ff,ff
109,109,0,ff,ff
110,110,0,ff,ff
111,111,0,ff,ff
112,112,0,ff,ff
113,113,0,ff,ff
114,114,0,df,f7
115,115,0,ff,55
116,116,0,ff,55
117,117,0,ff,55
118,118,0,ff,55
119,119,0,ff,55
120,120,0,ff,55
121,121,0,ff,55
122,122,0,ff,55
123,123,0,ff,55
124,124,0,ff,55
125,125,0,ff,55
126,126,0,ff,55
127,127,0,ff,55
128,128,0,ff,55
129,129,0,ff,55
130,130,0,ff,55
131,131,0,ff,55
132,132,0,ff,55
133,133,0,ff,55
134,134,0,ff,55
135,135,0,ff,55
136,136,0,ff,55
137,137,0,ff,55
138,138,0,ff,55
139,139,0,ff,55
140,140,0,ff,55
141,141,0,ff,55
142,142,0,ff,55
143,143,0,ff,55
144,144,0,ff,55
145,145,0,ff,55
146,146,0,ff,55
147,147,0,ff,55
148,148,0,ff,55
149,149,0,ff,55
150,150,0,ff,55
151,151,0,ff,55
152,152,0,ff,55
153,153,0,ff,55
154,154,0,ff,55
155,155,0,ff,55
156,156,0,ff,55
157,157,0,ff,55
158,158,0,03,55
159,159,0,00,55
160,160,0,00,55
161,161,0,00,55
162,162,0,00,55
163,163,0,00,55
164,164,0,00,55
165,165,0,00,55
166,166,0,00,55
167,167,0,00,55
168,168,0,00,55
169,169,0,00,55
170,170,0,00,55
171,171,0,00,55
172,172,0,00,55
173,173,0,00,55
174,174,0,00,55
175,175,0,00,55
176,176,0,00,55
177,177,0,00,55
178,178,0,00,55
179,179,0,c0,55
180,180,0,03,55
181,181,0,00,55
182,182,0,00,55
183,183,0,00,55
184,184,0,c0,55
185,185,0,ff,55
186,186,0,ff,55
187,187,0,0f,01
188,188,0,00,00
189,189,0,00,00
190,190,0,00,00
191,191,0,00,00
192,192,0,00,00
193,193,0,00,00
194,194,0,00,00
195,195,0,00,00
196,196,0,00,00
197,197,0,00,00
198,198,0,00,00
199,199,0,00,00
200,200,0,00,00
201,201,0,00,00
202,202,0,00,00
203,203,0,00,00
204,204,0,00,00
205,205,0,00,00
206,206,0,00,00
207,207,0,00,00
208,208,0,00,00
209,209,0,00,00
210,210,0,00,00
211,211,0,00,00
212,212,0,00,00
213,213,0,00,00
214,214,0,00,00
215,215,0,00,00
216,216,0,00,00
217,217,0,00,00
218,218,0,00,00
219,219,0,00,00
220,220,0,00,00
221,221,0,00,00
222,222,0,00,00
223,223,0,00,00
224,224,0,00,00
225,225,0,00,00
226,226,0,00,00
227,227,0,00,00
228,228,0,00,00
229,229,0,00,00
230,230,0,00,00
231,231,0,00,00
232,232,0,00,00
233,233,0,00,00
234,234,0,00,00
235,235,0,00,00
236,236,0,00,00
237,237,0,00,00
238,238,0,00,00
239,239,0,00,00
240,240,0,c0,40
241,241,0,ff,55
242,242,0,ff,55
243,243,0,ff,55
244,244,0,ff,55
245,245,0,ff,55
246,246,0,ff,55
247,247,0,ff,55
248,248,0,ff,55
249,249,0,ff,55
250,250,0,ff,55
251,251,0,ff,55
252,252,0,ff,55
253,253,0,ff,55
254,254,0,ff,55
255,255,0,ff,55
256,256,0,ff,55
257,257,0,ff,55
258,258,0,ff,55
259,259,0,ff,55
260,260,0,0f,01
261,261,0,00,00
262,262,0,00,00
263,263,0,00,00
264,264,0,00,00
265,265,0,00,00
266,266,0,00,00
267,267,0,00,00
268,268,0,00,00
269,269,0,00,00
270,270,0,00,00
271,271,0,00,00
272,272,0,00,00
273,273,0,00,00
274,274,0,00,00
275,275,0,00,00
276,276,0,00,00
277,277,0,00,00
278,278,0,00,00
279,279,0,00,00
280,280,0,00,00
281,281,0,00,00
282,282,0,00,00
283,283,0,00,00
284,284,0,00,00
285,285,0,00,00
286,286,0,00,00
287,287,0,00,00
288,288,0,00,00
289,289,0,00,00
290,290,0,00,00
291,291,0,00,00
292,292,0,08,02
293,293,0,20,08
294,294,0,80,20
295,295,0,00,80
296,296,0,02,00
297,297,0,08,02
298,298,0,20,08
299,299,0,80,20
300,300,0,00,80
301,301,0,02,00
302,302,0,b8,2e
303,303,0,eb,b8
304,304,0,ae,e0
305,305,0,bb,82
306,306,0,ee,0b
307,307,0,ba,2e
308,308,0,eb,b8
309,309,0,ae,e0
310,310,0,bb,82
311,311,0,ee,0b
312,312,0,ba,2e
313,313,0,2b,58
314,314,0,09,47
315,315,0,24,1d
316,316,0,90,75
317,317,0,40,d4
318,318,0,02,51
319,319,0,09,47
320,320,0,24,1d
321,321,0,90,75
322,322,0,40,d4
323,323,0,02,51
324,324,0,09,47
325,325,0,24,1d
326,326,0,14,04
327,327,0,5c,10
328,328,0,70,40
329,329,0,c1,00
330,330,0,05,01
331,331,0,17,04
332,332,0,5c,10
333,333,0,70,40
334,334,0,c1,00
335,335,0,05,01
336,336,0,17,04
337,337,0,0c,00
338,338,0,38,04
339,339,0,e0,10
340,340,0,80,40
341,341,0,03,00
342,342,0,0e,01
343,343,0,38,04
344,344,0,e0,10
345,345,0,80,40
346,346,0,03,00
347,347,0,0e,01
348,348,0,b8,04
349,349,0,0e,05
350,350,0,3a,14
351,351,0,e8,50
352,352,0,a0,40
353,353,0,83,01
354,354,0,0e,05
355,355,0,3a,14
356,356,0,e8,50
357,357,0,a0,40
358,358,0,83,01
359,359,0,0e,05
360,360,0,3a,14
361,361,0,40,98
362,362,0,00,63
363,363,0,01,8e
364,364,0,04,39
365,365,0,10,e6
366,366,0,40,98
367,367,0,00,63
368,368,0,01,8e
369,369,0,04,39
370,370,0,10,e6
371,371,0,40,98
372,372,0,50,13
373,373,0,50,40
374,374,0,41,00
375,375,0,05,01
376,376,0,15,04
377,377,0,54,10
378,378,0,50,40
379,379,0,41,00
380,380,0,05,01
381,381,0,15,04
